Name	Latitude	Longitude	max_amount	min_amount	food_level	open_month	close_month	year_build
Paradise Lost	4.099405828	-65.86363256	476	114	8			2012
Madame Bovary	-62.94802425	40.76849772	484	181	9			1993
Paradise Lost	42.44740235	18.54817405	442	189	1			2005
Anna Karenina	22.29803045	-50.40798265	447	55	5			1998
Robinson Crusoe	66.59313374	1.711321924	483	69	3			2001
Paradise Lost	29.41827291	61.06107811	377	176	9			1994
Anna Karenina	50.50074739	48.70545321	422	78	7			1996
 Oedipus at Colonus	4.313827366	8.848930111	352	69	8			2003
In Search of Lost Time	62.21323092	-68.38548855	323	94	1			1995
Pride and Prejudice	-63.6312525	68.90036419	381	197	8			2008
The Canterbury Tales	67.19388531	6.829871369	500	182	8			1994
Alice Adventures in Wonderland	-47.20469187	-69.88287158	390	113	8			1993
Les Misérables	-22.39050651	-44.93327821	372	119	5			1995
Ulysses	-7.271826426	-19.82588864	427	79	3			2009
Lolita	11.98603197	-33.53637535	369	123	1			2001
Don Quixote	38.05122884	33.08195372	451	60	3			2001
The Good Soldier	-57.61633305	-27.31868067	336	159	3			1992
Ulysses	-45.81983958	12.75406501	449	69	8			2016
The Good Soldier	-57.17955665	-9.496100542	487	110	5			2018
Madame Bovary	27.01683498	43.39013621	399	181	3			2012
Hamlet	21.60515098	-23.21637321	353	185	4			1995
Pride and Prejudice	-65.7824705	-22.26405878	425	108	5			2002
Great Expectations	14.01930387	50.16446379	332	111	5			2018
To Kill a Mockingbird	28.83166391	30.69549316	384	181	3			1993
The Good Soldier	-25.4984941	32.24769749	310	191	3			2008
The Canterbury Tales	38.00049357	5.143473759	341	75	2			2001
Ulysses	-45.06442433	-30.28646138	490	146	5			2015
Great Expectations	-26.47643291	-10.17449404	333	171	7			2005
Invisible Man	-70.05509508	61.97899431	443	127	7			2002
David Copperfield	47.87225132	7.138008218	320	141	6			2011
The Divine Comedy	19.72188178	38.72048217	363	110	1			2015
The Flowers of Evil	-48.40322346	-31.93577604	473	180	8			2013
The Sun Also Rises	-12.24695729	66.0491122	385	77	8			2011
Les Misérables	-17.23489139	-38.95447634	433	124	9			1997
Les Misérables	-13.18064443	-11.04176187	500	196	6			2000
The Odyssey	-49.96445601	-10.09787471	359	56	7			2003
The Great Gatsby	46.18782574	-1.255142081	412	148	5			2007
Gargantua and Pantagruel	-41.27367325	5.165402706	304	149	1			2015
Les Misérables	-50.35691256	-60.91553074	322	181	4			2017
The Great Gatsby	56.11348021	11.30351832	497	123	9			2012
Tristram Shandy	39.99242417	-13.35759485	346	63	5			2018
David Copperfield	19.18000101	-17.14042473	403	129	6			2012
One Thousand and One Nights	-7.328737196	43.42863932	497	163	10			2002
The Divine Comedy	-40.77879699	21.03937633	335	103	6			2008
The Old Man and the Sea	-3.682229089	34.41921442	468	200	9			2011
Great Expectations	-48.75115477	22.96909504	332	137	4			1999
Game of Thrones	-7.033408863	20.02622262	447	117	7			2013
Alice Adventures in Wonderland	-54.96932345	0.714587988	417	67	7			1994
The Sun Also Rises	54.08859732	-7.320086173	403	183	5			1994
The Lord of The Rings	18.95210531	-64.08328576	486	141	6			1999
Wuthering Heights	67.47880848	9.293687152	446	118	5			2018
Moby Dick	6.683400246	-21.89556266	476	109	3			1997
Lolita	-30.63930696	-70.18940556	324	150	1			2003
The Odyssey	39.07904004	-51.33481808	387	156	8			1991
The Odyssey	-29.29987577	68.21465792	423	111	10			2004
One Hundred Years of Solitude	-26.44283961	25.18893331	500	177	3			1997
David Copperfield	44.10163448	-59.95130689	420	105	6			2014
To Kill a Mockingbird	5.352916347	-0.829705649	407	74	10			1991
Alice Adventures in Wonderland	-44.70274603	0.346571569	417	118	1			1999
In Search of Lost Time	37.7455247	43.98594715	454	133	1			1994
Moby Dick	33.20808732	31.43264685	489	121	4			2014
The Handmaid's Tale	25.12044183	51.72888719	467	163	6			1991
The Old Man and the Sea	25.31469007	-29.69019712	354	72	2			1997
Hamlet	-31.65377033	-33.51970587	403	183	3			2005
Gulliver's Travels	51.7408019	-47.20429896	302	102	8			2018
The Sun Also Rises	-51.77366567	-15.02738118	388	132	2			2018
The Magic Mountain	-60.19056731	-64.95764589	433	163	3			2006
The Red and the Black	-34.63059905	-15.34612096	314	199	10			2010
Tristram Shandy	-67.91938211	47.44181376	321	135	9			2011
Game of Thrones	-34.70364544	-70.337253	389	153	2			2017
The Red and the Black	36.95079329	-10.19035926	380	64	6			1994
In Search of Lost Time	-64.48355409	22.29667101	365	56	8			1995
The Divine Comedy	23.27463907	54.52300087	308	199	3			1998
Alice Adventures in Wonderland	-40.84271831	-13.33323379	465	132	3			1996
Invisible Man	3.888669074	-12.35124925	404	137	4			2007
Gargantua and Pantagruel	49.5990026	26.14452324	438	114	1			1997
Lolita	68.24603421	10.08635609	500	55	1			2006
Hamlet	-42.05201682	-4.255779516	323	182	2			2013
The Great Gatsby	47.93483774	-66.90153028	362	105	3			1995
The Lord of The Rings	-9.184359434	9.128748534	420	135	6			2001
Tristram Shandy	-30.61521288	-34.69701492	480	182	9			2006
The Magic Mountain	65.65998198	59.8697886	360	159	7			1994
Lord of the Flies	49.07218477	-15.14793443	370	142	5			2008
The Scarlet Letter	-40.41416567	-22.86806134	440	131	10			2007
The Divine Comedy	39.39093535	-23.62808446	445	152	9			2013
Moby Dick	-47.21031286	-11.13341484	321	177	7			2015
Les Misérables	-34.47564516	52.92195637	308	62	9			2004
Gargantua and Pantagruel	-10.86120279	1.299596322	416	143	5			1992
Tess of the d'Urbervilles	3.384445992	67.17774444	500	139	2			2009
To the Lighthouse	-3.868595844	-21.59480826	491	180	4			2014
The Grapes of Wrath	-58.6764596	-9.31192385	378	118	2			2017
Moby Dick	-26.37737058	45.61039249	355	167	7			2015
Oedipus	69.01526189	-53.75516903	404	198	10			2007
Invisible Man	48.36697139	-3.367060503	444	75	7			2008
War and Peace	49.98275227	5.815400712	483	175	6			1991
Paradise Lost	-6.792089424	-10.03744586	492	66	1			2008
To Kill a Mockingbird	-66.07215349	7.55534562	303	174	1			2016
The Sound and the Fury	-0.31685042	13.01837466	393	65	4			2013
The Canterbury Tales	-28.0583781	-68.661901	318	156	8			2003
Les Misérables	-33.56721519	4.196470623	317	87	4			2014
The Good Soldier	51.31732759	-13.64862681	425	162	9			1998
Moby Dick	61.95003408	55.19420452	483	115	9			1992
Lord of the Flies	-60.17778534	58.49728711	499	75	4			1995
The Handmaid's Tale	21.79694111	69.62337881	474	161	8			2006
The Metamorphosis	-22.4272275	-3.198467118	420	196	2			2001
Lolita	-30.51384728	18.22743233	346	59	2			2005
Emma	49.01719394	40.85579879	469	100	3			1999
Emma	-53.62442421	54.19266931	356	111	8			2005
The Scarlet Letter	44.11092047	64.4462616	327	118	9			2017
The Grapes of Wrath	-0.563550207	12.46975757	300	184	4			1994
Tess of the d'Urbervilles	31.55133875	-38.2545439	500	86	6			2003
Robinson Crusoe	-67.48522836	42.21790376	351	110	9			2005
The Old Man and the Sea	-47.98034326	58.25215773	347	108	6			2008
Madame Bovary	-55.51482291	-30.0608694	359	176	8			2010
The Brothers Karamazov 	-11.30698805	-38.89733656	367	188	2			2004
One Hundred Years of Solitude	-36.21746741	-28.17998139	463	146	5			2001
To the Lighthouse	18.29805655	37.40630989	500	196	4			2014
Pride and Prejudice	-60.74732809	-12.42908156	325	57	10			2006
Nineteen Eighty Four	29.73997671	10.56468742	473	167	8			1998
The Sound and the Fury	59.21389746	53.87165735	426	122	9			2002
Great Expectations	-6.036805495	2.849942835	342	189	8			2014
The Scarlet Letter	-30.40457074	-67.15945758	358	55	4			2003
One Hundred Years of Solitude	-39.76078836	-31.72272709	313	165	7			2015
The Divine Comedy	39.1582691	47.56835993	404	122	4			1998
War and Peace	-47.62013274	-63.48146922	370	151	7			2007
The Good Soldier	-19.19778365	43.97290719	500	136	5			1996
Invisible Man	2.149493853	-49.74466894	403	121	6			2018
One Hundred Years of Solitude	50.74898014	-60.59633311	329	70	6			2004
 Oedipus at Colonus	-63.63568257	53.92429104	486	147	1			2011
Tristram Shandy	-10.47069587	15.29409244	463	143	1			2017
The Sound and the Fury	-33.19742785	48.49262435	456	95	9			2002
Gone With the Wind	-11.63408651	7.359061031	422	58	10			2005
Nineteen Eighty Four	-70.23639034	-3.398526089	476	93	3			2005
Wuthering Heights	-27.05980897	31.18849878	457	100	8			2013
Ulysses	32.35671112	21.43209614	482	68	2			2013
The Brothers Karamazov 	-56.12567326	-18.11204418	489	71	7			1995
The Canterbury Tales	-18.80682243	-57.17899487	370	131	5			2018
Anna Karenina	38.53719857	40.74615975	500	145	9	2	7	
To Kill a Mockingbird	-21.98081399	18.38574892	423	146	3	3	10	
Hamlet	-36.0209941	29.92718099	385	124	7	3	9	
To the Lighthouse	57.47502522	-46.97139606	359	88	7	2	9	
Oedipus	18.77256191	-37.99357541	423	198	10	2	7	
The Magic Mountain	2.852237985	-66.73454213	406	82	1	2	7	
War and Peace	-41.91061246	42.24694379	397	135	3	3	7	
The Lord of The Rings	41.97455511	-13.19068116	397	190	10	3	7	
Great Expectations	-53.85259126	3.461371947	433	167	3	3	10	
The Divine Comedy	-24.53892607	64.44225098	500	175	1	4	8	
The Old Man and the Sea	-36.15393966	-52.98771136	451	189	10	4	9	
The Old Man and the Sea	-70.05824823	-51.3565285	318	110	7	2	6	
Moby Dick	-61.40340568	-10.15258089	487	71	3	3	10	
The Canterbury Tales	18.15615705	-37.25166339	417	188	7	1	9	
The Great Gatsby	30.06857087	9.259364616	444	159	6	1	9	
In Search of Lost Time	53.15957579	28.33300457	439	128	7	4	8	
Tristram Shandy	-51.93984003	59.14308885	408	60	1	2	6	
Moby Dick	-36.54120797	-14.44466571	500	55	5	3	7	
Madame Bovary	-31.18314938	68.921365	443	60	1	4	9	
The Sun Also Rises	-66.26274836	3.848222472	475	114	2	4	8	
The Metamorphosis	3.440288334	-21.49427046	422	187	5	1	7	
The Great Gatsby	-3.190081688	-25.09066485	479	80	3	4	8	
Tristram Shandy	60.76256872	8.4558391	486	130	5	4	7	
The Lord of The Rings	10.71577111	43.28863754	499	125	6	1	7	
The Brothers Karamazov 	67.69109558	24.11080957	447	140	4	3	8	
Tristram Shandy	34.84984988	-51.59999612	384	151	4	5	8	
The Divine Comedy	45.34101716	-29.06028039	334	190	8	3	10	
The Odyssey	-36.3277208	-0.582027438	471	136	2	5	10	
The Flowers of Evil	0.795793313	-58.80340721	361	106	1	5	10	
The Divine Comedy	-9.163915624	-24.74194699	423	175	6	1	8	
Gulliver's Travels	-1.720149075	-55.22509109	500	197	6	2	7	
The Red and the Black	-56.10704044	-0.933293562	423	149	6	5	10	
Anna Karenina	19.70282868	-56.25229121	380	84	9	1	6	
Tess of the d'Urbervilles	66.70195736	0.32233032	406	171	3	5	10	
Hamlet	60.7869457	-33.86517311	461	169	7	4	7	
The Magic Mountain	12.76274359	-5.590841173	379	129	10	4	9	
The Scarlet Letter	34.28756991	-45.60686385	413	173	5	5	8	
Great Expectations	12.66021388	-26.64806515	365	58	4	3	10	
Anna Karenina	9.324282907	-1.368327771	497	72	3	4	10	
Gone With the Wind	30.56660218	-61.79831408	500	126	9	4	7	
The Old Man and the Sea	12.97691041	44.18210349	429	55	3	2	9	
Don Quixote	33.53003343	-39.08805242	439	188	9	2	7	
The Scarlet Letter	-61.93609963	20.54502801	469	130	8	2	8	
The Brothers Karamazov 	0.333829317	66.15824136	402	111	4	5	10	
Oedipus	-9.255393924	9.020451779	335	89	7	5	8	
Nineteen Eighty Four	60.96255896	54.90174844	368	173	5	3	9	
Vanity Fair	70.45184958	-28.23808073	429	106	9	4	8	
Gargantua and Pantagruel	25.72891659	-21.86331227	347	83	5	5	7	
The Lord of The Rings	32.62076601	-8.359386526	433	90	5	4	9	
Oedipus	62.85799208	-57.37350378	409	90	7	4	6	
One Thousand and One Nights	-41.16309562	-43.90612668	369	151	1	2	7	
The Great Gatsby	69.30404219	31.92480255	500	186	1	4	10	
Vanity Fair	-32.33216043	37.63594494	316	112	2	2	9	
Tristram Shandy	-16.09738999	17.10532281	344	57	9	2	10	
The Flowers of Evil	55.17016169	-66.75821956	460	91	3	1	7	
Great Expectations	50.31649453	41.14416424	401	75	6	5	8	
War and Peace	17.90889376	-48.53430842	364	169	8	3	10	
In Search of Lost Time	-50.13020834	68.38248503	364	75	10	3	8	
Lord of the Flies	57.30312211	57.96598325	455	122	1	3	9	
Robinson Crusoe	44.2651248	-38.19747425	316	113	3	3	10	
Invisible Man	-20.79041836	36.89874375	415	101	7	2	8	
In Search of Lost Time	-9.73101558	0.035613705	401	123	3	1	10	
Lord of the Flies	-52.29127442	67.57319602	434	59	4	5	6	
The Great Gatsby	15.29003185	36.91997674	423	149	9	2	7	
The Sun Also Rises	8.988884075	-45.41672552	500	180	1	5	6	
Emma	36.479522	5.242025516	402	113	10	5	10	
The Divine Comedy	29.26131604	28.63309474	471	195	1	4	9	
Paradise Lost	-19.2507484	40.3021503	344	79	9	3	8	
One Thousand and One Nights	-57.05155592	22.96771116	424	68	7	4	7	
The Scarlet Letter	-57.38941293	45.0193185	301	127	9	3	9	
Robinson Crusoe	68.72028397	-22.55765146	371	148	6	5	6	
The Lord of The Rings	59.69854859	-56.93601578	348	106	4	3	6	
Hamlet	60.07238334	-67.02333909	320	115	8	1	8	
The Good Soldier	5.906561038	54.41820715	500	58	7	1	9	
Gone With the Wind	-16.81930309	5.14656964	324	155	3	5	9	
The Scarlet Letter	65.57969309	65.49723609	458	193	4	3	9	
The Canterbury Tales	-25.55618099	-60.73243318	383	114	2	2	6	
The Brothers Karamazov 	20.32251306	41.88944827	333	81	3	4	10	
The Metamorphosis	-17.23989192	42.37207969	437	100	1	1	9	
The Odyssey	6.056358993	-42.69920942	435	106	10	1	9	
Don Quixote	-63.89635493	59.52599147	347	142	9	4	6	
The Good Soldier	14.1277656	52.78508994	325	163	5	2	9	
In Search of Lost Time	-19.65688	70.43559643	306	132	8	2	10	
The Brothers Karamazov 	31.75078811	68.68651562	365	163	1	1	10	
Paradise Lost	1.994936075	39.05279731	389	54	9	1	9	
Lolita	39.30978292	34.43698787	371	129	4	1	9	
The Old Man and the Sea	-18.43996571	-21.19992842	430	55	2	1	9	
Moby Dick	4.335117221	60.49128969	350	140	9	3	8	
The Lord of The Rings	-59.40172033	24.41976634	484	187	8	4	8	
The Good Soldier	-16.97232319	-37.77924873	378	140	1	5	8	
The Good Soldier	39.03605762	-23.82132957	430	74	6	2	10	
The Great Gatsby	-38.03461088	-6.258707946	500	113	8	3	7	
The Red and the Black	50.90794171	-31.85516789	485	177	3	2	8	
The Magic Mountain	-14.07244563	59.68796047	334	92	6	2	6	
The Sun Also Rises	51.46486321	14.97192152	389	169	3	1	9	
Don Quixote	-15.10762877	27.20810593	428	186	9	5	6	
Alice Adventures in Wonderland	21.81528907	30.64093955	309	141	10	4	8	
Alice Adventures in Wonderland	-43.99579871	25.95985538	443	182	3	2	7	
Don Quixote	51.1465637	58.3500552	382	140	9	4	10	
To the Lighthouse	-1.044984953	58.53624059	482	87	6	4	7	
Robinson Crusoe	57.18471777	52.69761361	448	114	7	1	10	
Anna Karenina	52.77223066	-12.63023106	305	58	8	2	10	
One Thousand and One Nights	-5.109336434	-49.14661587	443	125	10	4	7	
Paradise Lost	-20.85661121	-18.76324164	413	87	6	3	6	
Moby Dick	-13.87412045	28.97049467	426	91	3	5	9	
The Odyssey	11.25824205	46.65151605	463	82	10	2	6	
Ulysses	-58.20541925	-57.68873665	388	125	9	1	8	
Vanity Fair	-0.308713595	3.558724751	500	148	9	3	7	
Hamlet	-55.26317791	13.24717877	472	170	1	5	6	
 Oedipus at Colonus	-21.65246168	-59.06261654	315	125	2	5	6	
Game of Thrones	-45.71052224	-58.94462796	484	131	6	2	6	
To the Lighthouse	48.39211189	-16.46826518	465	131	6	4	8	
 Oedipus at Colonus	-54.253029	16.54906389	315	112	7	4	10	
To Kill a Mockingbird	68.1824856	-62.10306937	450	116	7	4	7	
War and Peace	-61.62549929	70.68955798	481	101	5	1	8	
Gone With the Wind	44.54266801	48.99175859	441	170	2	5	8	
 Oedipus at Colonus	-4.97154047	14.07870964	458	101	10	4	7	
Paradise Lost	31.36608655	-45.34561824	444	167	3	5	8	
War and Peace	-3.513088688	13.60348817	434	93	1	1	8	
The Flowers of Evil	13.1896108	7.035464358	343	114	10	1	7	
The Metamorphosis	-64.8415496	-31.3219372	414	171	6	1	8	
The Canterbury Tales	-47.4239343	7.176871671	317	171	1	5	6	
Tristram Shandy	-4.863419528	10.59583895	346	165	9	3	9	
David Copperfield	11.90967682	60.43943868	484	61	8	5	6	
The Red and the Black	12.00081346	-49.30176521	450	94	3	4	10	
Lord of the Flies	19.72531159	32.23730111	471	118	2	3	8	
The Canterbury Tales	-17.47159366	-57.95258015	361	174	9	5	9	
Great Expectations	69.21293747	32.10735174	357	104	7	1	7	
The Great Gatsby	16.44920988	-56.60062993	403	70	3	2	7	
Tristram Shandy	23.20435855	-5.819927944	473	152	10	2	8	
The Divine Comedy	-29.77574911	-37.39742302	333	154	5	1	9	
Anna Karenina	70.55270172	-55.90821834	500	105	3	4	8	
The Lord of The Rings	-56.99743794	-47.33099627	302	170	7	1	9	
The Canterbury Tales	59.29930024	-12.13952715	407	189	8	1	6	
Game of Thrones	-46.05334193	-17.31056447	358	87	1	2	8	
The Great Gatsby	45.67028584	57.40826892	385	93	8	1	10	
War and Peace	55.27482331	51.57256022	426	50	6	5	7	
Robinson Crusoe	57.77562414	9.044025821	469	52	5	1	10	
The Scarlet Letter	25.4447522	-28.09267131	438	120	9	5	8	
The Divine Comedy	30.60645175	-69.23110194	482	195	5	3	8	
The Lord of The Rings	-48.10531051	-66.59982315	473	165	10	1	8	
Emma	-27.38580338	-58.93796004	474	102	1	2	6	
The Sound and the Fury	-50.70690533	-57.32099576	391	117	1	2	6	
David Copperfield	30.14253394	-12.37399504	358	165	7	2	8	
The Lord of The Rings	-46.10781389	11.89116183	379	161	4	4	10	
Emma	6.090890682	63.73554553	455	87	9	5	6	
War and Peace	-43.84782417	-6.062988743	356	108	1	2	8	
Moby Dick	-23.93149221	32.17605741	415	129	3	2	8	
Ulysses	-45.78357456	-29.30553264	366	176	10	2	6	
Gargantua and Pantagruel	-21.81227527	-37.84976199	333	97	1	4	7	
The Sun Also Rises	-55.74703285	36.15227313	321	62	5	5	7	
Vanity Fair	56.65196222	10.33367438	353	197	7	4	7	
Oedipus	-65.75254221	45.78383816	394	131	4	1	7	
Alice Adventures in Wonderland	31.62396584	-8.281918722	429	194	2	1	10	
Oedipus	61.2654842	-12.67078086	441	139	3	3	10	
Vanity Fair	10.31986895	34.8420376	500	186	5	3	6	
Tristram Shandy	4.12250538	-34.04968182	302	74	7	5	7	
Les Misérables	-32.81527202	44.384974	473	76	3	1	7	
The Magic Mountain	-22.32690921	-39.50371523	457	122	4	2	7	
The Handmaid's Tale	-63.25296684	-67.4734409	358	116	2	3	8	
The Handmaid's Tale	13.40331319	50.49883363	370	142	9	3	9	
Don Quixote	23.39122232	55.63955844	431	128	9	4	10	
The Red and the Black	-38.20669433	-8.645463691	387	81	6	2	7	
Gone With the Wind	-68.6567202	50.89457453	333	55	1	5	7	
The Good Soldier	-40.47269098	40.43084139	404	196	10	4	10	
Vanity Fair	29.39458331	44.14009342	378	141	7	3	7	
The Red and the Black	-34.37949824	-2.322155204	381	179	9	1	8	
The Brothers Karamazov 	39.73008243	-14.33892571	326	117	9	3	10	
Moby Dick	-3.650916262	51.18287775	433	102	4	3	6	
Game of Thrones	-51.605767	-33.36094127	498	181	2	1	9	
The Sound and the Fury	-2.478093418	-57.88279049	368	178	10	5	8	
The Handmaid's Tale	-2.372074062	-2.172629555	393	144	7	3	10	
War and Peace	-28.9554627	23.95510005	309	166	10	3	10	
The Metamorphosis	25.84385354	50.37713903	425	77	8	3	7	
Wuthering Heights	10.769881	51.66295284	422	83	9	4	9	
The Good Soldier	-14.82107329	18.88975804	338	97	9	3	8	
The Divine Comedy	32.32590411	-25.050499	500	128	3	1	6	
Les Misérables	15.41492317	62.92376467	357	76	4	4	8	
The Sound and the Fury	1.606028714	62.07608919	484	88	10	1	8	
Gone With the Wind	18.62067903	-23.35505006	423	152	7	5	9	
One Hundred Years of Solitude	45.99174033	24.26093294	427	138	3	5	6	
Great Expectations	8.166531822	64.76314365	318	67	7	2	8	
The Flowers of Evil	43.93493121	-15.76117667	479	178	4	1	10	
The Canterbury Tales	56.25916198	-70.10545174	489	112	5	4	6	
Gone With the Wind	-40.11695983	-13.14275043	387	97	9	1	9	
The Great Gatsby	-33.56331238	-59.49768573	440	119	2	1	8	
Invisible Man	31.77545637	-10.93976145	365	102	10	1	10	
Oedipus	18.59914799	33.87576264	452	91	3	5	8	
Les Misérables	46.93043432	-61.69411349	500	127	6	1	9	
To the Lighthouse	70.12342547	46.84115529	401	122	1	1	6	
Gargantua and Pantagruel	65.81055001	-69.47942931	429	154	6	2	9	
Emma	54.71068271	41.06596269	383	58	1	3	6	
The Brothers Karamazov 	-41.00261951	63.17740502	495	124	9	2	9	
The Good Soldier	-61.87247047	-25.47811667	337	151	8	3	9	
 Oedipus at Colonus	66.82305403	28.92757986	394	121	10	2	6	
Tess of the d'Urbervilles	-14.81844131	55.83185493	497	165	3	2	8	
The Magic Mountain	-20.63489773	3.092674776	376	104	9	5	10	
The Metamorphosis	58.89880716	-0.163698565	375	85	3	1	6	
Oedipus	-29.2515462	37.86399609	303	114	6	3	10	
Invisible Man	59.39322386	24.89631741	449	131	3	3	9	
Tristram Shandy	47.81689724	0.457818491	500	71	7	5	8	
The Brothers Karamazov 	-41.27180335	-62.92265779	376	139	1	5	9	
The Scarlet Letter	5.404762495	-8.500456236	320	99	7	3	7	
Pride and Prejudice	49.39425282	-39.31149018	398	124	10	2	7	
Invisible Man	-43.01075956	38.3081151	401	126	2	3	9	
The Divine Comedy	-42.73572444	69.26517531	309	66	10	4	7	
To Kill a Mockingbird	-8.050308982	30.665936	436	66	3	5	8	
One Hundred Years of Solitude	-63.08226498	-38.61415305	381	168	3	4	7	
Invisible Man	-0.270283131	40.07638136	447	65	5	1	8	
The Great Gatsby	21.21273747	37.49702494	349	131	8	5	10	
Don Quixote	45.48850052	-35.76821807	500	181	6	1	9	
In Search of Lost Time	68.02244178	28.78363066	311	175	8	4	6	
Gargantua and Pantagruel	41.94634175	-16.38692325	316	75	2	5	7	
Emma	54.18899063	-51.30132905	479	132	4	5	10	
Robinson Crusoe	-55.14833874	8.058557618	348	161	9	4	10	
The Magic Mountain	-23.89508768	67.40771314	401	186	4	4	9	
The Sound and the Fury	24.61229648	-47.37642087	308	149	3	2	8	
The Sound and the Fury	36.09979233	32.35456048	461	62	9	5	7	
Don Quixote	-10.70130328	-9.756834687	353	89	7	2	6	
The Sun Also Rises	-30.63292101	-49.22040768	474	150	7	2	7	
The Good Soldier	-23.92827532	-6.018756863	322	179	4	4	6	
Moby Dick	52.54407542	-5.986008209	438	174	6	1	6	
The Handmaid's Tale	28.66284353	-38.49438412	410	181	2	1	8	
Pride and Prejudice	19.98341164	46.12646877	500	98	2	1	6	
In Search of Lost Time	44.73123562	-2.392707057	422	120	4	4	8	
The Sun Also Rises	-28.16686523	-44.86909112	390	85	6	4	8	
Lolita	-35.1213553	15.43408658	325	147	4	2	10	
The Great Gatsby	-15.16498938	-20.89798143	432	100	2	5	10	
To the Lighthouse	-20.2441176	-62.00558589	348	117	3	2	6	
One Hundred Years of Solitude	-16.01507079	60.80556204	375	171	8	1	8	
The Red and the Black	-3.50007684	-45.05281253	359	84	1	1	7	
Les Misérables	-49.01328003	52.70178622	319	140	10	1	7	
The Good Soldier	40.64099416	62.98005174	417	107	9	1	7	
War and Peace	68.78387095	33.31588625	405	114	7	2	8	
Vanity Fair	-22.00370223	-33.62410235	331	185	5	1	7	
 Oedipus at Colonus	32.39182521	37.37485076	500	141	10	5	7	
Game of Thrones	-13.02195548	67.45881281	489	172	3	3	6	
